(1, 'Дмитрий', 'Морозов', 'Николаевич', 'Челябинск', '1981-09-22', 26),
(303, 'Андрей', 'Морозов', 'Сергеевич', 'Самара', '2000-09-09', 32),
(304, 'Иван', 'Лебедев', 'Николаевич', 'Екатеринбург', '1983-03-16', 22),
(305, 'Владимир', 'Петров', 'Сергеевич', 'Омск', '1981-05-28', 12),
(306, 'Алексей', 'Кузнецов', 'Сергеевич', 'Самара', '1983-12-27', 21),
(307, 'Дмитрий', 'Лебедев', 'Владимирович', 'Самара', '2004-10-28', 35),
(308, 'Сергей', 'Смирнов', 'Сергеевич', 'Ростов-на-Дону', '1987-02-26', 22),
(309, 'Дмитрий', 'Козлов', 'Дмитриевич', 'Самара', '1994-01-23', 46),
(310, 'Александр', 'Лебедев', 'Владимирович', 'Казань', '1999-10-09', 41),
(311, 'Иван', 'Смирнов', 'Алексеевич', 'Новосибирск', '1988-07-15', 41),
(312, 'Алексей', 'Попов', 'Дмитриевич', 'Нижний Новгород', '1993-12-09', 20),
(313, 'Сергей', 'Кузнецов', 'Александрович', 'Челябинск', '1983-12-20', 9),
(314, 'Александр', 'Петров', 'Алексеевич', 'Санкт-Петербург', '1988-01-12', 8),
(315, 'Алексей', 'Лебедев', 'Дмитриевич', 'Ростов-на-Дону', '1995-02-26', 14),
(316, 'Юрий', 'Кузнецов', 'Юрьевич', 'Самара', '1997-05-13', 4),
(317, 'Сергей', 'Попов', 'Алексеевич', 'Омск', '1995-10-23', 25),
(318, 'Владимир', 'Попов', 'Михайлович', 'Самара', '1989-12-12', 9),
(319, 'Владимир', 'Новиков', 'Иванович', 'Омск', '1994-08-24', 37),
(320, 'Андрей', 'Новиков', 'Михайлович', 'Екатеринбург', '1985-03-08', 13),
(321, 'Сергей', 'Козлов', 'Михайлович', 'Казань', '1981-09-14', 38),
(322, 'Николай', 'Козлов', 'Андреевич', 'Москва', '1994-08-11', 7),
(323, 'Владимир', 'Козлов', 'Юрьевич', 'Челябинск', '1987-04-02', 7),
(324, 'Юрий', 'Лебедев', 'Иванович', 'Москва', '2002-10-03', 9),
(325, 'Сергей', 'Новиков', 'Иванович', 'Нижний Новгород', '2005-07-23', 27),
(326, 'Владимир', 'Иванов', 'Николаевич', 'Ростов-на-Дону', '2001-05-06', 23),
(327, 'Николай', 'Морозов', 'Алексеевич', 'Омск', '1986-02-26', 38),
(328, 'Алексей', 'Лебедев', 'Александрович', 'Екатеринбург', '1998-07-24', 8),
(329, 'Сергей', 'Морозов', 'Николаевич', 'Самара', '1998-04-15', 29),
(330, 'Иван', 'Лебедев', 'Алексеевич', 'Нижний Новгород', '1985-11-25', 36),
(331, 'Андрей', 'Попов', 'Дмитриевич', 'Нижний Новгород', '1989-04-04', 48),
(332, 'Андрей', 'Сидоров', 'Александрович', 'Екатеринбург', '1994-03-20', 15),
(333, 'Дмитрий', 'Иванов', 'Александрович', 'Нижний Новгород', '1981-03-12', 14),
(334, 'Дмитрий', 'Козлов', 'Михайлович', 'Санкт-Петербург', '2001-08-07', 23),
(335, 'Михаил', 'Попов', 'Иванович', 'Челябинск', '1991-04-17', 23),
(336, 'Алексей', 'Лебедев', 'Михайлович', 'Санкт-Петербург', '2000-06-25', 41),
(337, 'Александр', 'Сидоров', 'Михайлович', 'Челябинск', '1996-02-05', 3),
(338, 'Владимир', 'Козлов', 'Михайлович', 'Екатеринбург', '1996-08-30', 6),
(339, 'Алексей', 'Новиков', 'Николаевич', 'Москва', '1987-03-06', 5),
(340, 'Сергей', 'Попов', 'Дмитриевич', 'Екатеринбург', '1985-04-05', 27),
(341, 'Владимир', 'Попов', 'Юрьевич', 'Екатеринбург', '1992-07-12', 49),
(342, 'Иван', 'Петров', 'Алексеевич', 'Омск', '1998-07-26', 24),
(343, 'Николай', 'Смирнов', 'Николаевич', 'Казань', '1993-05-17', 29),
(344, 'Александр', 'Петров', 'Михайлович', 'Санкт-Петербург', '2005-07-07', 9),
(345, 'Владимир', 'Смирнов', 'Юрьевич', 'Новосибирск', '2002-12-06', 42),
(346, 'Алексей', 'Козлов', 'Михайлович', 'Казань', '2005-04-20', 11),
(347, 'Владимир', 'Петров', 'Александрович', 'Екатеринбург', '1985-04-09', 45),
(348, 'Александр', 'Лебедев', 'Сергеевич', 'Омск', '1998-05-08', 47),
(349, 'Иван', 'Козлов', 'Владимирович', 'Челябинск', '1990-09-25', 24),
(350, 'Александр', 'Морозов', 'Николаевич', 'Самара', '1989-08-03', 24),
(351, 'Иван', 'Смирнов', 'Александрович', 'Челябинск', '2000-06-09', 31),
(352, 'Сергей', 'Новиков', 'Юрьевич', 'Казань', '1999-03-24', 1),
(353, 'Алексей', 'Лебедев', 'Юрьевич', 'Самара', '1998-03-08', 1),
(354, 'Андрей', 'Сидоров', 'Андреевич', 'Москва', '1995-04-08', 9),
(355, 'Иван', 'Морозов', 'Юрьевич', 'Екатеринбург', '1996-05-15', 10),
(356, 'Дмитрий', 'Морозов', 'Алексеевич', 'Казань', '1984-03-09', 34),
(357, 'Сергей', 'Петров', 'Николаевич', 'Новосибирск', '1997-02-23', 41),
(358, 'Иван', 'Лебедев', 'Юрьевич', 'Омск', '2002-12-31', 33),
(359, 'Иван', 'Лебедев', 'Александрович', 'Казань', '2004-10-06', 1),
(360, 'Алексей', 'Морозов', 'Николаевич', 'Самара', '1996-06-16', 8),
(361, 'Алексей', 'Кузнецов', 'Владимирович', 'Санкт-Петербург', '1993-07-31', 41),
(362, 'Сергей', 'Петров', 'Михайлович', 'Казань', '1983-10-30', 22),
(363, 'Николай', 'Морозов', 'Алексеевич', 'Ростов-на-Дону', '1999-03-04', 39),
(364, 'Михаил', 'Сидоров', 'Иванович', 'Новосибирск', '1990-06-10', 32),
(365, 'Иван', 'Козлов', 'Николаевич', 'Самара', '1999-09-04', 1),
(366, 'Владимир', 'Смирнов', 'Андреевич', 'Екатеринбург', '2001-03-21', 28),
(367, 'Николай', 'Петров', 'Михайлович', 'Нижний Новгород', '2004-10-01', 37),
(368, 'Юрий', 'Новиков', 'Юрьевич', 'Казань', '1980-01-22', 43),
(369, 'Алексей', 'Козлов', 'Иванович', 'Казань', '1999-08-15', 48),
(370, 'Андрей', 'Петров', 'Сергеевич', 'Ростов-на-Дону', '1999-06-13', 36),
(371, 'Владимир', 'Смирнов', 'Алексеевич', 'Челябинск', '1984-11-28', 12),
(372, 'Александр', 'Попов', 'Михайлович', 'Самара', '2001-12-03', 50),
(373, 'Александр', 'Козлов', 'Сергеевич', 'Новосибирск', '1985-10-15', 44),
(374, 'Михаил', 'Кузнецов', 'Иванович', 'Санкт-Петербург', '1985-05-27', 11),
(375, 'Николай', 'Попов', 'Михайлович', 'Новосибирск', '1990-07-09', 43),
(376, 'Юрий', 'Кузнецов', 'Иванович', 'Самара', '1984-09-29', 27),
(377, 'Алексей', 'Морозов', 'Дмитриевич', 'Самара', '1985-10-10', 50),
(378, 'Николай', 'Кузнецов', 'Иванович', 'Казань', '1989-07-13', 35),
(379, 'Владимир', 'Смирнов', 'Николаевич', 'Новосибирск', '1982-12-10', 27),
(380, 'Иван', 'Петров', 'Иванович', 'Екатеринбург', '1982-11-10', 50),
(381, 'Андрей', 'Иванов', 'Алексеевич', 'Новосибирск', '2003-06-10', 15),
(382, 'Дмитрий', 'Кузнецов', 'Юрьевич', 'Новосибирск', '1998-10-28', 1),
(383, 'Дмитрий', 'Козлов', 'Александрович', 'Екатеринбург', '1982-08-17', 30),
(384, 'Дмитрий', 'Иванов', 'Андреевич', 'Самара', '1999-05-17', 4),
(385, 'Михаил', 'Новиков', 'Владимирович', 'Челябинск', '1993-10-01', 29),
(386, 'Николай', 'Новиков', 'Дмитриевич', 'Омск', '2003-01-23', 49),
(387, 'Иван', 'Сидоров', 'Сергеевич', 'Казань', '1991-10-24', 23),
(388, 'Сергей', 'Сидоров', 'Дмитриевич', 'Казань', '1992-12-04', 24),
(389, 'Сергей', 'Попов', 'Дмитриевич', 'Новосибирск', '1981-10-23', 31),
(390, 'Иван', 'Иванов', 'Иванович', 'Екатеринбург', '1986-06-16', 8),
(391, 'Алексей', 'Сидоров', 'Иванович', 'Нижний Новгород', '1981-08-09', 22),
(392, 'Александр', 'Кузнецов', 'Владимирович', 'Омск', '1980-02-13', 9),
(393, 'Дмитрий', 'Попов', 'Андреевич', 'Москва', '2005-12-18', 8),
(394, 'Михаил', 'Морозов', 'Иванович', 'Самара', '2004-03-06', 33),
(395, 'Николай', 'Лебедев', 'Иванович', 'Новосибирск', '1987-09-26', 20),
(396, 'Владимир', 'Морозов', 'Иванович', 'Санкт-Петербург', '1984-05-25', 48),
(397, 'Николай', 'Новиков', 'Александрович', 'Санкт-Петербург', '1993-01-18', 13),
(398, 'Дмитрий', 'Морозов', 'Владимирович', 'Санкт-Петербург', '1991-01-20', 31),
(399, 'Иван', 'Попов', 'Александрович', 'Ростов-на-Дону', '1989-07-05', 4),
(400, 'Юрий', 'Лебедев', 'Александрович', 'Самара', '1983-09-11', 36),
(401, 'Сергей', 'Иванов', 'Андреевич', 'Новосибирск', '1982-09-29', 11),
(402, 'Юрий', 'Иванов', 'Дмитриевич', 'Самара', '1986-04-30', 38),
(403, 'Николай', 'Морозов', 'Дмитриевич', 'Нижний Новгород', '1986-07-08', 32),
(404, 'Дмитрий', 'Сидоров', 'Алексеевич', 'Челябинск', '1992-09-23', 27),
(405, 'Михаил', 'Новиков', 'Дмитриевич', 'Самара', '2001-11-26', 41),
(406, 'Андрей', 'Иванов', 'Юрьевич', 'Ростов-на-Дону', '1985-11-05', 38),
(407, 'Юрий', 'Кузнецов', 'Алексеевич', 'Омск', '1990-03-25', 13),
(408, 'Дмитрий', 'Смирнов', 'Алексеевич', 'Екатеринбург', '1988-04-05', 31),
(409, 'Сергей', 'Петров', 'Алексеевич', 'Новосибирск', '1993-06-17', 41),
(410, 'Михаил', 'Смирнов', 'Алексеевич', 'Москва', '2000-08-02', 5),
(411, 'Иван', 'Иванов', 'Дмитриевич', 'Казань', '1984-10-18', 38),
(412, 'Николай', 'Иванов', 'Николаевич', 'Новосибирск', '1982-12-08', 36),
(413, 'Алексей', 'Лебедев', 'Андреевич', 'Новосибирск', '1990-01-05', 49),
(414, 'Сергей', 'Попов', 'Николаевич', 'Самара', '2004-09-24', 11),
(415, 'Михаил', 'Морозов', 'Дмитриевич', 'Омск', '1985-10-22', 8),
(416, 'Александр', 'Козлов', 'Сергеевич', 'Омск', '1986-10-02', 10),
(417, 'Владимир', 'Морозов', 'Михайлович', 'Челябинск', '1993-04-15', 29),
(418, 'Андрей', 'Морозов', 'Юрьевич', 'Казань', '1986-10-28', 7),
(419, 'Николай', 'Кузнецов', 'Алексеевич', 'Санкт-Петербург', '1993-08-27', 46),
(420, 'Дмитрий', 'Лебедев', 'Алексеевич', 'Санкт-Петербург', '2000-03-14', 34),
(421, 'Владимир', 'Морозов', 'Юрьевич', 'Екатеринбург', '1999-12-18', 5),
(422, 'Андрей', 'Петров', 'Михайлович', 'Казань', '1992-05-08', 5),
(423, 'Иван', 'Кузнецов', 'Алексеевич', 'Санкт-Петербург', '2000-10-04', 42),
(424, 'Алексей', 'Лебедев', 'Александрович', 'Екатеринбург', '1994-09-23', 49),
(425, 'Иван', 'Попов', 'Сергеевич', 'Казань', '2001-04-06', 16),
(426, 'Дмитрий', 'Морозов', 'Николаевич', 'Нижний Новгород', '1993-03-18', 17),
(427, 'Юрий', 'Новиков', 'Михайлович', 'Санкт-Петербург', '1998-08-02', 44),
(428, 'Юрий', 'Иванов', 'Дмитриевич', 'Омск', '2002-10-20', 16),
(429, 'Иван', 'Морозов', 'Сергеевич', 'Санкт-Петербург', '1984-09-12', 47),
(430, 'Алексей', 'Сидоров', 'Дмитриевич', 'Челябинск', '1986-10-19', 9),
(431, 'Дмитрий', 'Смирнов', 'Михайлович', 'Самара', '1998-04-26', 35),
(432, 'Иван', 'Лебедев', 'Владимирович', 'Екатеринбург', '1988-04-14', 4),
(433, 'Алексей', 'Попов', 'Алексеевич', 'Санкт-Петербург', '1983-05-14', 47),
(434, 'Дмитрий', 'Кузнецов', 'Александрович', 'Екатеринбург', '2003-03-12', 7),
(435, 'Владимир', 'Сидоров', 'Владимирович', 'Омск', '1981-08-16', 37),
(436, 'Владимир', 'Иванов', 'Александрович', 'Москва', '1990-09-29', 17),
(437, 'Юрий', 'Петров', 'Дмитриевич', 'Санкт-Петербург', '1983-05-10', 10),
(438, 'Юрий', 'Сидоров', 'Сергеевич', 'Челябинск', '1990-01-16', 5),
(439, 'Александр', 'Новиков', 'Иванович', 'Москва', '1980-11-22', 40),
(440, 'Дмитрий', 'Кузнецов', 'Сергеевич', 'Новосибирск', '1994-07-09', 41),
(441, 'Андрей', 'Морозов', 'Алексеевич', 'Челябинск', '1999-04-04', 23),
(442, 'Николай', 'Смирнов', 'Александрович', 'Москва', '1985-12-28', 26),
(443, 'Андрей', 'Морозов', 'Дмитриевич', 'Новосибирск', '1986-11-11', 16),
(444, 'Михаил', 'Морозов', 'Владимирович', 'Омск', '1995-07-10', 4),
(445, 'Юрий', 'Козлов', 'Юрьевич', 'Санкт-Петербург', '1999-02-22', 9),
(446, 'Юрий', 'Кузнецов', 'Владимирович', 'Нижний Новгород', '2002-03-24', 9),
(447, 'Сергей', 'Кузнецов', 'Николаевич', 'Москва', '1992-07-13', 20),
(448, 'Дмитрий', 'Петров', 'Иванович', 'Екатеринбург', '1997-05-07', 3),
(449, 'Николай', 'Смирнов', 'Алексеевич', 'Нижний Новгород', '2002-08-04', 50),
(450, 'Михаил', 'Смирнов', 'Михайлович', 'Нижний Новгород', '1985-04-27', 34),
(451, 'Сергей', 'Козлов', 'Алексеевич', 'Казань', '1981-06-10', 9),
(452, 'Михаил', 'Новиков', 'Сергеевич', 'Санкт-Петербург', '2001-10-02', 3),
(453, 'Алексей', 'Сидоров', 'Михайлович', 'Самара', '1993-10-05', 28),
(454, 'Николай', 'Сидоров', 'Алексеевич', 'Ростов-на-Дону', '1994-06-06', 20),
(455, 'Сергей', 'Козлов', 'Иванович', 'Санкт-Петербург', '1997-12-13', 9),
(456, 'Сергей', 'Сидоров', 'Николаевич', 'Челябинск', '1991-12-23', 42),
(457, 'Юрий', 'Козлов', 'Юрьевич', 'Санкт-Петербург', '1995-09-06', 38),
(458, 'Дмитрий', 'Смирнов', 'Дмитриевич', 'Челябинск', '2002-05-22', 38),
(459, 'Иван', 'Смирнов', 'Владимирович', 'Нижний Новгород', '1996-12-21', 23),
(460, 'Иван', 'Новиков', 'Юрьевич', 'Челябинск', '1997-10-05', 42),
(461, 'Владимир', 'Смирнов', 'Александрович', 'Нижний Новгород', '1988-11-14', 3),
(462, 'Алексей', 'Козлов', 'Дмитриевич', 'Нижний Новгород', '2001-06-11', 16),
(463, 'Алексей', 'Сидоров', 'Сергеевич', 'Самара', '1988-06-21', 38),
(464, 'Алексей', 'Лебедев', 'Андреевич', 'Нижний Новгород', '1997-09-27', 25),
(465, 'Александр', 'Новиков', 'Юрьевич', 'Самара', '1988-03-21', 23),
(466, 'Андрей', 'Попов', 'Александрович', 'Челябинск', '1982-05-17', 39),
(467, 'Иван', 'Попов', 'Николаевич', 'Самара', '1991-04-19', 30),
(468, 'Юрий', 'Новиков', 'Николаевич', 'Самара', '1980-01-22', 2),
(469, 'Михаил', 'Иванов', 'Юрьевич', 'Ростов-на-Дону', '1987-01-08', 35),
(470, 'Владимир', 'Морозов', 'Александрович', 'Москва', '1986-04-18', 6),
(471, 'Дмитрий', 'Козлов', 'Юрьевич', 'Москва', '1993-12-09', 2),
(472, 'Владимир', 'Смирнов', 'Владимирович', 'Санкт-Петербург', '1987-03-13', 33),
(473, 'Иван', 'Сидоров', 'Иванович', 'Екатеринбург', '1996-07-07', 26),
(474, 'Дмитрий', 'Попов', 'Дмитриевич', 'Омск', '2005-03-30', 36),
(475, 'Андрей', 'Иванов', 'Михайлович', 'Санкт-Петербург', '2001-05-04', 35),
(476, 'Алексей', 'Козлов', 'Владимирович', 'Казань', '2002-03-02', 32),
(477, 'Николай', 'Новиков', 'Дмитриевич', 'Казань', '1980-01-30', 4),
(478, 'Николай', 'Кузнецов', 'Владимирович', 'Челябинск', '1981-03-09', 22),
(479, 'Алексей', 'Смирнов', 'Юрьевич', 'Омск', '1998-10-09', 17),
(480, 'Юрий', 'Кузнецов', 'Дмитриевич', 'Новосибирск', '2004-06-18', 42),
(481, 'Михаил', 'Попов', 'Андреевич', 'Екатеринбург', '1999-01-10', 19),
(482, 'Алексей', 'Попов', 'Сергеевич', 'Новосибирск', '1997-04-04', 11),
(483, 'Юрий', 'Кузнецов', 'Юрьевич', 'Ростов-на-Дону', '1996-09-05', 47),
(484, 'Юрий', 'Попов', 'Сергеевич', 'Санкт-Петербург', '1993-02-02', 40),
(485, 'Михаил', 'Попов', 'Александрович', 'Казань', '1995-08-29', 16),
(486, 'Алексей', 'Смирнов', 'Иванович', 'Нижний Новгород', '1981-03-10', 35),
(487, 'Николай', 'Попов', 'Иванович', 'Санкт-Петербург', '1993-06-25', 8),
(488, 'Алексей', 'Иванов', 'Александрович', 'Самара', '1985-07-21', 22),
(489, 'Александр', 'Иванов', 'Дмитриевич', 'Омск', '1992-12-14', 17),
(490, 'Андрей', 'Сидоров', 'Владимирович', 'Санкт-Петербург', '1988-07-27', 18),
(491, 'Владимир', 'Новиков', 'Алексеевич', 'Челябинск', '2001-12-13', 2),
(492, 'Иван', 'Кузнецов', 'Александрович', 'Новосибирск', '1985-02-06', 42),
(493, 'Дмитрий', 'Морозов', 'Николаевич', 'Казань', '1980-10-23', 5),
(494, 'Владимир', 'Морозов', 'Михайлович', 'Челябинск', '1990-07-03', 6),
(495, 'Дмитрий', 'Иванов', 'Владимирович', 'Нижний Новгород', '1989-02-22', 4),
(496, 'Алексей', 'Лебедев', 'Александрович', 'Омск', '1994-06-15', 41),
(497, 'Владимир', 'Козлов', 'Иванович', 'Ростов-на-Дону', '2004-02-26', 37),
(498, 'Александр', 'Козлов', 'Алексеевич', 'Екатеринбург', '1993-09-10', 10),
(499, 'Андрей', 'Лебедев', 'Юрьевич', 'Челябинск', '1985-07-24', 46),
(500, 'Александр', 'Кузнецов', 'Владимирович', 'Санкт-Петербург', '1986-02-22', 38),
(501, 'Андрей', 'Морозов', 'Николаевич', 'Москва', '1980-06-02', 48),
(502, 'Иван', 'Попов', 'Александрович', 'Новосибирск', '2005-04-24', 47),
(503, 'Дмитрий', 'Сидоров', 'Владимирович', 'Самара', '2001-10-04', 38),
(504, 'Алексей', 'Петров', 'Юрьевич', 'Нижний Новгород', '1990-10-30', 37),
(505, 'Юрий', 'Смирнов', 'Иванович', 'Казань', '1997-12-28', 5),
(506, 'Николай', 'Козлов', 'Юрьевич', 'Нижний Новгород', '1996-12-15', 44),
(507, 'Андрей', 'Сидоров', 'Сергеевич', 'Челябинск', '1999-07-22', 24),
(508, 'Николай', 'Морозов', 'Сергеевич', 'Челябинск', '2002-08-16', 47),
(509, 'Андрей', 'Попов', 'Владимирович', 'Москва', '1998-05-19', 14),
(510, 'Сергей', 'Козлов', 'Андреевич', 'Омск', '1980-09-25', 31),
(511, 'Александр', 'Новиков', 'Михайлович', 'Москва', '1982-01-22', 32),
(512, 'Юрий', 'Морозов', 'Андреевич', 'Екатеринбург', '2001-06-19', 24),
(513, 'Дмитрий', 'Сидоров', 'Андреевич', 'Омск', '1983-06-27', 45),
(514, 'Сергей', 'Кузнецов', 'Николаевич', 'Самара', '2000-08-23', 26),
(515, 'Юрий', 'Кузнецов', 'Иванович', 'Челябинск', '1985-07-05', 9),
(516, 'Сергей', 'Петров', 'Андреевич', 'Самара', '2000-02-28', 5),
(517, 'Михаил', 'Лебедев', 'Александрович', 'Екатеринбург', '2002-02-04', 1),
(518, 'Владимир', 'Сидоров', 'Николаевич', 'Казань', '2003-09-09', 42),
(519, 'Михаил', 'Лебедев', 'Александрович', 'Ростов-на-Дону', '1986-05-02', 25),
(520, 'Александр', 'Иванов', 'Иванович', 'Нижний Новгород', '1994-10-04', 35),
(521, 'Дмитрий', 'Новиков', 'Юрьевич', 'Москва', '1985-06-25', 33),
(522, 'Александр', 'Иванов', 'Андреевич', 'Москва', '1998-06-16', 12),
(523, 'Михаил', 'Новиков', 'Дмитриевич', 'Самара', '1998-12-04', 38),
(524, 'Иван', 'Петров', 'Александрович', 'Санкт-Петербург', '1988-03-25', 50),
(525, 'Андрей', 'Попов', 'Михайлович', 'Казань', '2000-07-19', 10),
(526, 'Андрей', 'Морозов', 'Андреевич', 'Самара', '1984-04-15', 1),
(527, 'Юрий', 'Смирнов', 'Дмитриевич', 'Санкт-Петербург', '1986-09-08', 8),
(528, 'Иван', 'Сидоров', 'Николаевич', 'Екатеринбург', '1995-12-15', 39),
(529, 'Иван', 'Иванов', 'Александрович', 'Омск', '1994-03-24', 30),
(530, 'Александр', 'Попов', 'Александрович', 'Самара', '1982-06-21', 1),
(531, 'Александр', 'Козлов', 'Иванович', 'Казань', '2003-09-26', 46),
(532, 'Михаил', 'Попов', 'Александрович', 'Омск', '1990-07-04', 39),
(533, 'Андрей', 'Иванов', 'Юрьевич', 'Санкт-Петербург', '1985-06-22', 17),
(534, 'Сергей', 'Сидоров', 'Иванович', 'Москва', '1992-03-08', 7),
(535, 'Александр', 'Кузнецов', 'Дмитриевич', 'Екатеринбург', '1984-07-22', 40),
(536, 'Сергей', 'Петров', 'Александрович', 'Москва', '1990-07-03', 4),
(537, 'Андрей', 'Петров', 'Сергеевич', 'Челябинск', '1996-05-13', 34),
(538, 'Юрий', 'Козлов', 'Дмитриевич', 'Казань', '1990-01-22', 49),
(539, 'Дмитрий', 'Попов', 'Александрович', 'Казань', '1986-11-02', 49),
(540, 'Иван', 'Лебедев', 'Юрьевич', 'Челябинск', '1999-07-04', 42),
(541, 'Михаил', 'Новиков', 'Михайлович', 'Екатеринбург', '1990-12-17', 50),
(542, 'Владимир', 'Новиков', 'Алексеевич', 'Самара', '1995-12-07', 17),
(543, 'Иван', 'Смирнов', 'Юрьевич', 'Нижний Новгород', '1980-06-06', 23),
(544, 'Юрий', 'Иванов', 'Николаевич', 'Самара', '2002-03-02', 23),
(545, 'Александр', 'Козлов', 'Александрович', 'Санкт-Петербург', '1999-09-25', 8),
(546, 'Владимир', 'Смирнов', 'Юрьевич', 'Нижний Новгород', '2002-10-31', 20),
(547, 'Иван', 'Иванов', 'Александрович', 'Москва', '1989-08-17', 35),
(548, 'Александр', 'Смирнов', 'Андреевич', 'Нижний Новгород', '2005-11-02', 6),
(549, 'Алексей', 'Смирнов', 'Михайлович', 'Казань', '2005-09-07', 23),
(550, 'Владимир', 'Лебедев', 'Сергеевич', 'Ростов-на-Дону', '1985-08-19', 5),
(551, 'Николай', 'Новиков', 'Иванович', 'Новосибирск', '1985-07-09', 4),
(552, 'Сергей', 'Петров', 'Александрович', 'Москва', '2003-12-15', 36),
(553, 'Михаил', 'Сидоров', 'Николаевич', 'Новосибирск', '1981-11-25', 43),
(554, 'Николай', 'Новиков', 'Юрьевич', 'Омск', '1980-08-13', 40),
(555, 'Сергей', 'Козлов', 'Владимирович', 'Москва', '1981-09-06', 33),
(556, 'Александр', 'Петров', 'Михайлович', 'Екатеринбург', '1985-03-12', 12),
(557, 'Дмитрий', 'Сидоров', 'Дмитриевич', 'Омск', '1999-09-27', 33),
(558, 'Андрей', 'Новиков', 'Владимирович', 'Нижний Новгород', '1993-09-17', 8),
(559, 'Сергей', 'Кузнецов', 'Дмитриевич', 'Ростов-на-Дону', '1991-06-19', 25),
(560, 'Михаил', 'Кузнецов', 'Николаевич', 'Омск', '1990-12-30', 28),
(561, 'Юрий', 'Лебедев', 'Александрович', 'Омск', '1991-10-22', 25),
(562, 'Андрей', 'Морозов', 'Сергеевич', 'Ростов-на-Дону', '1983-09-01', 7),
(563, 'Андрей', 'Попов', 'Иванович', 'Челябинск', '1989-03-14', 32),
(564, 'Иван', 'Лебедев', 'Дмитриевич', 'Казань', '2003-09-27', 36),
(565, 'Андрей', 'Морозов', 'Иванович', 'Казань', '1998-01-13', 49),
(566, 'Дмитрий', 'Морозов', 'Александрович', 'Екатеринбург', '1985-08-18', 4),
(567, 'Иван', 'Лебедев', 'Андреевич', 'Санкт-Петербург', '1981-09-12', 21),
(568, 'Алексей', 'Сидоров', 'Дмитриевич', 'Екатеринбург', '1993-04-17', 40),
(569, 'Михаил', 'Лебедев', 'Юрьевич', 'Екатеринбург', '1989-09-06', 6),
(570, 'Алексей', 'Сидоров', 'Иванович', 'Екатеринбург', '1983-08-18', 18),
(571, 'Николай', 'Морозов', 'Владимирович', 'Нижний Новгород', '2004-02-05', 31),
(572, 'Михаил', 'Иванов', 'Владимирович', 'Новосибирск', '1997-08-09', 9),
(573, 'Иван', 'Кузнецов', 'Иванович', 'Ростов-на-Дону', '2002-05-01', 11),
(574, 'Владимир', 'Кузнецов', 'Юрьевич', 'Самара', '1991-02-16', 25),
(575, 'Алексей', 'Новиков', 'Дмитриевич', 'Ростов-на-Дону', '2001-06-05', 33),
(576, 'Дмитрий', 'Лебедев', 'Михайлович', 'Самара', '1992-02-25', 28),
(577, 'Михаил', 'Смирнов', 'Александрович', 'Омск', '2002-06-04', 20),
(578, 'Михаил', 'Лебедев', 'Сергеевич', 'Ростов-на-Дону', '1982-05-07', 14),
(579, 'Михаил', 'Кузнецов', 'Дмитриевич', 'Омск', '2002-07-30', 24),
(580, 'Владимир', 'Кузнецов', 'Сергеевич', 'Нижний Новгород', '1994-09-25', 50),
(581, 'Дмитрий', 'Новиков', 'Андреевич', 'Челябинск', '2001-06-19', 5),
(582, 'Юрий', 'Новиков', 'Николаевич', 'Казань', '1980-02-22', 43),
(583, 'Михаил', 'Смирнов', 'Сергеевич', 'Казань', '1988-10-17', 48),
(584, 'Александр', 'Попов', 'Алексеевич', 'Казань', '2002-01-18', 48),
(585, 'Юрий', 'Козлов', 'Михайлович', 'Нижний Новгород', '1988-03-15', 48),
(586, 'Владимир', 'Морозов', 'Николаевич', 'Нижний Новгород', '1993-03-19', 10),
(587, 'Алексей', 'Попов', 'Андреевич', 'Екатеринбург', '1997-03-17', 32),
(588, 'Юрий', 'Петров', 'Дмитриевич', 'Ростов-на-Дону', '1997-04-28', 19),
(589, 'Михаил', 'Иванов', 'Иванович', 'Омск', '2002-10-08', 28),
(590, 'Иван', 'Иванов', 'Алексеевич', 'Омск', '1984-08-06', 15),
(591, 'Владимир', 'Иванов', 'Владимирович', 'Ростов-на-Дону', '1992-12-15', 11),
(592, 'Александр', 'Новиков', 'Иванович', 'Москва', '1981-10-24', 38),
(593, 'Юрий', 'Кузнецов', 'Юрьевич', 'Казань', '1980-04-13', 19),
(594, 'Александр', 'Кузнецов', 'Сергеевич', 'Новосибирск', '1992-10-21', 34),
(595, 'Алексей', 'Иванов', 'Дмитриевич', 'Казань', '1989-01-10', 35),
(596, 'Сергей', 'Петров', 'Иванович', 'Нижний Новгород', '1991-04-09', 24),
(597, 'Иван', 'Сидоров', 'Дмитриевич', 'Челябинск', '2000-04-03', 19),
(598, 'Юрий', 'Морозов', 'Николаевич', 'Казань', '1987-11-20', 17),
(599, 'Юрий', 'Новиков', 'Андреевич', 'Ростов-на-Дону', '1998-06-11', 47),
(600, 'Алексей', 'Сидоров', 'Владимирович', 'Омск', '1998-06-22', 43),
(601, 'Сергей', 'Новиков', 'Иванович', 'Ростов-на-Дону', '1985-11-02', 39),
(602, 'Николай', 'Кузнецов', 'Дмитриевич', 'Екатеринбург', '1991-03-09', 44),
(603, 'Юрий', 'Новиков', 'Юрьевич', 'Казань', '1994-02-20', 15),
(604, 'Алексей', 'Попов', 'Сергеевич', 'Екатеринбург', '1992-07-08', 19),
